county,site,site_type,site_population,sample_code,date,sarscov2_raw,flow,flow_adjustment_ratio,industrial_adjustment_ratio,dry_median_flow,pmmov,pmmov_site_median,adjusted_pmmov
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-01,16.545575150875017,7.12,0.9452435794462626,1.0,7.53245,9983.331494006325,18585.27821748622,8.887677631576542
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-01,16.545575150875017,7.12,0.9452435794462626,1.0,7.53245,9983.331494006325,18585.27821748622,8.887677631576542
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-03,88.88901619381008,7.1371,0.94751375714409,1.0,7.53245,16174.063230445843,18585.27821748622,77.35674180320486
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-03,88.88901619381008,7.1371,0.94751375714409,1.0,7.53245,16174.063230445843,18585.27821748622,77.35674180320486
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-08,35.44809760436155,7.2466,0.9620508599459672,1.0,7.53245,27506.1541624138,18585.27821748622,52.463074593765256
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-08,35.44809760436155,7.2466,0.9620508599459672,1.0,7.53245,27506.1541624138,18585.27821748622,52.463074593765256
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-09,63.15477500606512,7.379,0.9796281422379172,1.0,7.53245,11751.490011710095,18585.27821748622,39.93282742344414
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-09,63.15477500606512,7.379,0.9796281422379172,1.0,7.53245,11751.490011710095,18585.27821748622,39.93282742344414
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-10,60.60634577343944,7.2251,0.9591965429574708,1.0,7.53245,22012.967387052937,18585.27821748622,71.78399469446443
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-10,60.60634577343944,7.2251,0.9591965429574708,1.0,7.53245,22012.967387052937,18585.27821748622,71.78399469446443
Marin,CMSA influent,Influent,105000,B_B_INF,2021-08-15,126.6319336985625,7.2612,0.9639891403195509,1.0,7.53245,215211.7576766637,18585.27821748622,1466.3585183040905
